"","X.zip.","X.ems.","lon","lat"
"277","10457","P.S. 163 Arthur A. Schomburg",-73.8987854,40.8517868
"278","10452","P.S. 199X - The Shakespeare School",-73.9207857,40.8434803
"279","10457","P.S. 204 Morris Heights",-73.892395,40.8485715
"280","74104","Kappa",-95.962914,36.140863
"281","10452","P.S./I.S. 218 Rafael Hernandez Dual Language Magne",-73.9198301,40.8355576
"282","10456","I.S. 219 New Venture School",-73.9038894,40.8338896
"283","10453","I.S. 229 Roland Patterson",-73.920697,40.8531511
"284","10457","Eagle Academy for Young Men",-73.897176,40.845264
"285","10453","I.S. 232",-73.915653,40.8493122
"286","10453","P.S. 236 Langston Hughes",-73.9096988,40.8488255
"287","10457","Urban Assembly School for Applied Math and Science",-73.9018947,40.8394571
"288","10453","The New American Academy at Roberto Clemente State",-73.9210321,40.8528519
"289","10452","The Walton Avenue School",-73.9157164,40.8403661
"290","10453","I.S. X303 Leadership & Community Service",-73.915653,40.8493122
"291","10452","Lucero Elementary School",-73.9157211,40.8403563
"292","10457","I.S. 313 School of Leadership Development",-73.9041938,40.8406241
"293","10456","Bronx Writing Academy",-73.9139388,40.8324496
"294","10456","Bronx Early College Academy for Teaching & Learnin",-73.9175579,40.8281781
"295","02132","Urban Science Academy",-71.174083,42.2820359
"296","10452","Comprehensive Model School Project M.S. 327",-73.9160047,40.8432195
"297","10456","New Millennium Business Academy Middle School",-73.9138569,40.8277404
"298","10457","I.S. 339",-73.9042382,40.8406704
"299","10457","New Directions Secondary School",-73.9113927,40.8396196
"300","10452","The Highbridge Green School",-73.928113,40.838206
"301","10457","Bronx High School for Medical Science",-73.911386,40.8396545
"302","10456","The Family School",-73.9175656,40.8321305
"303","10456","Grant Avenue Elementary School",-73.9175653,40.8283139
"304","10456","Science and Technology Academy: A Mott Hall School",-73.9175653,40.8283139
"305","10456","Sheridan Academy for Young Leaders",-73.9174942,40.8322284
"306","10451","Bronx School for Law, Government and Justice",-73.9190153,40.827493
"307","10452","Mount Eden Children's Academy",-73.9161818,40.8429529
"308","10473","Young Women's Leadership School of the Bronx",-73.8575055,40.8188481
"309","10457","P.S. 3 Raul Julia Micro Society",-73.891503,40.8501242
"310","10463","Milton Fein School",-73.9057992,40.8816109
"311","10458","P.S. 008 Isaac Varian",-73.8834589,40.8722302
"312","10458","P.S. 9 Ryer Avenue Elementary School",-73.8989561,40.8566808
"313","10453","P.S. X015 Institute for Environmental Learning",-73.9098589,40.8590452
"314","10467","P.S./M.S. 20 P.O.George J. Werdann, III",-73.8790735,40.8696205
"315","10457","P.S. 023 The New Children's School",-73.8947836,40.8533809
"316","10463","P.S. 024 Spuyten Duyvil",-73.9143675,40.8870932
"317","10458","P.S. 032 Belmont",-73.8859641,40.8518895
"318","10468","P.S. 033 Timothy Dwight",-73.901633,40.8616747
"319","10463","P.S. X037 - Multiple Intelligence School",-73.9105426,40.8799358
"320","10458","Thomas C. Giordano Middle School 45",-73.8873325,40.8583603
"321","10458","P.S. 046 Edgar Allan Poe",-73.8906272,40.8669496
"322","10457","P.S. 051 Bronx New School",-73.8863882,40.8505396
"323","10458","P.S./I.S. 54",-73.8877685,40.8648408
"324","10467","P.S. 056 Norwood Heights",-73.8749248,40.8754528
"325","10457","P.S. 059 The Community School of Technology",-73.8935685,40.853105
"326","10467","J.H.S. 080 The Mosholu Parkway",-73.8814825,40.876754
"327","10471","P.S. 081 Robert J. Christen",-73.9048888,40.9035665
"328","10458","P.S. 085 Great Expectations",-73.8948287,40.8588521
